KO,Importance,Class,name,description,pathway,brites,Share(+),Only_one(+),Neither(+),Share(-),Only_one(-),Neither(-)
ko:K00350,0.002038806,aminoglycoside,['nqrE'],Na+-transporting NADH:ubiquinone oxidoreductase subunit E [EC:1.6.5.8],,"['Enzymes [BR:ko01000]', '             1. Oxidoreductases', '              1.6  Acting on NADH or NADPH', '               1.6.5  With a quinone or similar compound as acceptor', '                1.6.5.8  NADH:ubiquinone reductase (Na+-transporting)', '                 K00350  nqrE; Na+-transporting NADH:ubiquinone oxidoreductase subunit E']",5.555555556,19.88888889,74.55555556,30.55555556,3.111111111,66.33333333
ko:K01770,0.002031314,aminoglycoside,['ispF'],"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:4.6.1.12]","{'ko01130': 'Biosynthesis of antibiotics', 'ko00900': 'Terpenoid backbone biosynthesis', 'ko01100': 'Metabolic pathways', 'ko01110': 'Biosynthesis of secondary metabolites'}","['KEGG Orthology (KO) [BR:ko00001]', '             Metabolism', '              Metabolism of terpenoids and polyketides', '               00900 Terpenoid backbone biosynthesis', '                K01770  ispF; 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase', '            KEGG modules [BR:ko00002]', '             Pathway module', '              Carbohydrate and lipid metabolism', '               Terpenoid backbone biosynthesis', '                M00096  C5 isoprenoid biosynthesis, non-mevalonate pathway', '                 K01770  ispF; 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase', '            Enzymes [BR:ko01000]', '             4. Lyases', '              4.6  Phosphorus-oxygen lyases', '               4.6.1  Phosphorus-oxygen lyases (only sub-subclass identified to date)', '                4.6.1.12  2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase', '                 K01770  ispF; 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase']",52.55555556,39.33333333,8.111111111,84.22222222,12.77777778,3
ko:K04758,0.002028763,aminoglycoside,['feoA'],ferrous iron transport protein A,,"['Transporters [BR:ko02000]', '             Other Transporters', '              Others', '               K04758  feoA; ferrous iron transport protein A']",71.55555556,22.22222222,6.222222222,58,9.555555556,32.44444444
ko:K00348,0.002014987,aminoglycoside,['nqrC'],Na+-transporting NADH:ubiquinone oxidoreductase subunit C [EC:1.6.5.8],,"['Enzymes [BR:ko01000]', '             1. Oxidoreductases', '              1.6  Acting on NADH or NADPH', '               1.6.5  With a quinone or similar compound as acceptor', '                1.6.5.8  NADH:ubiquinone reductase (Na+-transporting)', '                 K00348  nqrC; Na+-transporting NADH:ubiquinone oxidoreductase subunit C']",5.333333333,20,74.66666667,30,3.555555556,66.44444444
ko:K01735,0.001974697,aminoglycoside,['aroB'],3-dehydroquinate synthase [EC:4.2.3.4],"{'ko01130': 'Biosynthesis of antibiotics', 'ko01230': 'Biosynthesis of amino acids', 'ko00400': 'Phenylalanine, tyrosine and tryptophan biosynthesis', 'ko01100': 'Metabolic pathways', 'ko01110': 'Biosynthesis of secondary metabolites'}","['KEGG Orthology (KO) [BR:ko00001]', '             Metabolism', '              Amino acid metabolism', '               00400 Phenylalanine, tyrosine and tryptophan biosynthesis', '                K01735  aroB; 3-dehydroquinate synthase', '            KEGG modules [BR:ko00002]', '             Pathway module', '              Nucleotide and amino acid metabolism', '               Aromatic amino acid metabolism', '                M00022  Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate', '                 K01735  aroB; 3-dehydroquinate synthase', '            Enzymes [BR:ko01000]', '             4. Lyases', '              4.2  Carbon-oxygen lyases', '               4.2.3  Acting on phosphates', '                4.2.3.4  3-dehydroquinate synthase', '                 K01735  aroB; 3-dehydroquinate synthase']",96.55555556,3.444444444,0,84.66666667,13.77777778,1.555555556
ko:K07085,0.001919173,aminoglycoside,['K07085'],putative transport protein,,,5.555555556,20.22222222,74.22222222,31.44444444,9.111111111,59.44444444
ko:K04653,0.001817257,aminoglycoside,['hypC'],hydrogenase expression/formation protein HypC,,,1.666666667,14.66666667,83.66666667,3.444444444,27.66666667,68.88888889
ko:K04654,0.001767196,aminoglycoside,['hypD'],hydrogenase expression/formation protein HypD,,,1.444444444,12.55555556,86,3.555555556,28.22222222,68.22222222
ko:K21464,0.00175195,aminoglycoside,['pbpG'],penicillin-binding protein 2D [EC:2.4.1.129 3.4.16.4],{'ko00550': 'Peptidoglycan biosynthesis'},"['KEGG Orthology (KO) [BR:ko00001]', '             Metabolism', '              Glycan biosynthesis and metabolism', '               00550 Peptidoglycan biosynthesis', '                K21464  pbpG; penicillin-binding protein 2D', '            Enzymes [BR:ko01000]', '             2. Transferases', '              2.4  Glycosyltransferases', '               2.4.1  Hexosyltransferases', '                2.4.1.129  peptidoglycan glycosyltransferase', '                 K21464  pbpG; penicillin-binding protein 2D', '             3. Hydrolases', '              3.4  Acting on peptide bonds (peptidases)', '               3.4.16  Serine-type carboxypeptidases', '                3.4.16.4  serine-type D-Ala-D-Ala carboxypeptidase', '                 K21464  pbpG; penicillin-binding protein 2D', '            Glycosyltransferases [BR:ko01003]', '             Polysaccharide', '              Bacterial polysaccharide', '               K21464  pbpG; penicillin-binding protein 2D', '            Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]', '             Peptidoglycan biosynthesis and degradation', '              Glycosyltransferase/DD-Transpeptidase (Class A PBP)', '               K21464  pbpG; penicillin-binding protein 2D']",1.111111111,14.77777778,84.11111111,0.444444444,1.666666667,97.88888889
ko:K00243,0.001737216,aminoglycoside,['K00243'],uncharacterized protein,,,41.77777778,39.66666667,18.55555556,65.55555556,23.55555556,10.88888889
ko:K07586,0.001701425,aminoglycoside,['ygaC'],uncharacterized protein,,,6.555555556,28.77777778,64.66666667,2.222222222,7.222222222,90.55555556
ko:K01914,0.001654572,aminoglycoside,['asnA'],aspartate--ammonia ligase [EC:6.3.1.1],"{'ko00460': 'Cyanoamino acid metabolism', 'ko00250': 'Alanine, aspartate and glutamate metabolism', 'ko01110': 'Biosynthesis of secondary metabolites', 'ko01100': 'Metabolic pathways', 'ko01230': 'Biosynthesis of amino acids'}","['KEGG Orthology (KO) [BR:ko00001]', '             Metabolism', '              Amino acid metabolism', '               00250 Alanine, aspartate and glutamate metabolism', '                K01914  asnA; aspartate--ammonia ligase', '              Metabolism of other amino acids', '               00460 Cyanoamino acid metabolism', '                K01914  asnA; aspartate--ammonia ligase', '            Enzymes [BR:ko01000]', '             6. Ligases', '              6.3  Forming carbon-nitrogen bonds', '               6.3.1  Acid-D-ammonia (or amine) ligases (amide synthases)', '                6.3.1.1  aspartate---ammonia ligase', '                 K01914  asnA; aspartate--ammonia ligase']",57.66666667,30.77777778,11.55555556,55.22222222,33.77777778,11
ko:K22405,0.00165449,aminoglycoside,['fprA1_2'],NADH oxidase (H2O-forming) [EC:1.6.3.4],,"['Enzymes [BR:ko01000]', '             1. Oxidoreductases', '              1.6  Acting on NADH or NADPH', '               1.6.3  With oxygen as acceptor', '                1.6.3.4  NADH oxidase (H2O-forming)', '                 K22405  fprA1_2; NADH oxidase (H2O-forming)']",6.333333333,26.55555556,67.11111111,1.444444444,13.77777778,84.77777778
ko:K09769,0.001648535,aminoglycoside,['K09769'],uncharacterized protein,,,9.222222222,36.44444444,54.33333333,2.333333333,11.77777778,85.88888889
ko:K17716,0.001620202,aminoglycoside,['capD'],UDP-glucose 4-epimerase [EC:5.1.3.2],"{'ko00520': 'Amino sugar and nucleotide sugar metabolism', 'ko00052': 'Galactose metabolism', 'ko01100': 'Metabolic pathways'}","['KEGG Orthology (KO) [BR:ko00001]', '             Metabolism', '              Carbohydrate metabolism', '               00052 Galactose metabolism', '                K17716  capD; UDP-glucose 4-epimerase', '               00520 Amino sugar and nucleotide sugar metabolism', '                K17716  capD; UDP-glucose 4-epimerase', '            KEGG modules [BR:ko00002]', '             Functional set', '              Metabolism', '               Nucleotide sugar', '                M00362  Nucleotide sugar biosynthesis, prokaryotes', '                 K17716  capD; UDP-glucose 4-epimerase', '            Enzymes [BR:ko01000]', '             5. Isomerases', '              5.1  Racemases and epimerases', '               5.1.3  Acting on carbohydrates and derivatives', '                5.1.3.2  UDP-glucose 4-epimerase', '                 K17716  capD; UDP-glucose 4-epimerase']",8.666666667,45,46.33333333,4.666666667,35.88888889,59.44444444
ko:K07736,0.001611353,aminoglycoside,['carD'],CarD family transcriptional regulator,,"['Transcription factors [BR:ko03000]', '             Prokaryotic Type', '              Other transcription factors', '               Others', '                K07736  carD; CarD family transcriptional regulator']",3.222222222,17.77777778,79,10,26.11111111,63.88888889
ko:K02160,0.001597492,aminoglycoside,"['accB, bccP']",acetyl-CoA carboxylase biotin carboxyl carrier protein,"{'ko00640': 'Propanoate metabolism', 'ko01130': 'Biosynthesis of antibiotics', 'ko01200': 'Carbon metabolism', 'ko01100': 'Metabolic pathways', 'ko00061': 'Fatty acid biosynthesis', 'ko00720': 'Carbon fixation pathways in prokaryotes', 'ko01212': 'Fatty acid metabolism', 'ko01110': 'Biosynthesis of secondary metabolites', 'ko01120': 'Microbial metabolism in diverse environments', 'ko00620': 'Pyruvate metabolism'}","['KEGG Orthology (KO) [BR:ko00001]', '             Metabolism', '              Carbohydrate metabolism', '               00620 Pyruvate metabolism', '                K02160  accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein', '               00640 Propanoate metabolism', '                K02160  accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein', '              Energy metabolism', '               00720 Carbon fixation pathways in prokaryotes', '                K02160  accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein', '              Lipid metabolism', '               00061 Fatty acid biosynthesis', '                K02160  accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein', '            KEGG modules [BR:ko00002]', '             Pathway module', '              Energy metabolism', '               Carbon fixation', '                M00376  3-Hydroxypropionate bi-cycle', '                 K02160  accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein', '              Carbohydrate and lipid metabolism', '               Fatty acid metabolism', '                M00082  Fatty acid biosynthesis, initiation', '                 K02160  accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein']",43.33333333,42.77777778,13.88888889,23.88888889,32.77777778,43.33333333
ko:K02907,0.001595495,aminoglycoside,"['RP-L30, MRPL30, rpmD']",large subunit ribosomal protein L30,{'ko03010': 'Ribosome'},"['KEGG Orthology (KO) [BR:ko00001]', '             Genetic Information Processing', '              Translation', '               03010 Ribosome', '                K02907  RP-L30, MRPL30, rpmD; large subunit ribosomal protein L30', '            KEGG modules [BR:ko00002]', '             Structural complex', '              Genetic information processing', '               Ribosome', '                M00178  Ribosome, bacteria', '                 K02907  RP-L30, MRPL30, rpmD; large subunit ribosomal protein L30', '                M00179  Ribosome, archaea', '                 K02907  RP-L30, MRPL30, rpmD; large subunit ribosomal protein L30', '            Ribosome [BR:ko03011]', '             Ribosomal Proteins', '              Mitochondria/ Chloroplast', '               Large subunit', '                K02907  RP-L30, MRPL30, rpmD; large subunit ribosomal protein L30', '              Bacteria', '               Large subunit', '                K02907  RP-L30, MRPL30, rpmD; large subunit ribosomal protein L30', '              Archaea', '               Large subunit', '                K02907  RP-L30, MRPL30, rpmD; large subunit ribosomal protein L30']",76.22222222,21.88888889,1.888888889,92.88888889,7.111111111,0
ko:K01960,0.00159249,aminoglycoside,['pycB'],pyruvate carboxylase subunit B [EC:6.4.1.1],"{'ko01230': 'Biosynthesis of amino acids', 'ko01120': 'Microbial metabolism in diverse environments', 'ko00720': 'Carbon fixation pathways in prokaryotes', 'ko01200': 'Carbon metabolism', 'ko00620': 'Pyruvate metabolism', 'ko01100': 'Metabolic pathways', 'ko00020': 'Citrate cycle (TCA cycle)'}","['KEGG Orthology (KO) [BR:ko00001]', '             Metabolism', '              Carbohydrate metabolism', '               00020 Citrate cycle (TCA cycle)', '                K01960  pycB; pyruvate carboxylase subunit B', '               00620 Pyruvate metabolism', '                K01960  pycB; pyruvate carboxylase subunit B', '              Energy metabolism', '               00720 Carbon fixation pathways in prokaryotes', '                K01960  pycB; pyruvate carboxylase subunit B', '            KEGG modules [BR:ko00002]', '             Pathway module', '              Energy metabolism', '               Carbon fixation', '                M00173  Reductive citrate cycle (Arnon-Buchanan cycle)', '                 K01960  pycB; pyruvate carboxylase subunit B', '                M00620  Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate', '                 K01960  pycB; pyruvate carboxylase subunit B', '            Enzymes [BR:ko01000]', '             6. Ligases', '              6.4  Forming carbon-carbon bonds', '               6.4.1  Ligases that form carbon-carbon bonds (only sub-subclass identified to date)', '                6.4.1.1  pyruvate carboxylase', '                 K01960  pycB; pyruvate carboxylase subunit B']",4.444444444,21.44444444,74.11111111,28.55555556,6.222222222,65.22222222
ko:K01507,0.001550207,aminoglycoside,['ppa'],inorganic pyrophosphatase [EC:3.6.1.1],{'ko00190': 'Oxidative phosphorylation'},"['KEGG Orthology (KO) [BR:ko00001]', '             Metabolism', '              Energy metabolism', '               00190 Oxidative phosphorylation', '                K01507  ppa; inorganic pyrophosphatase', '            Enzymes [BR:ko01000]', '             3. Hydrolases', '              3.6  Acting on acid anhydrides', '               3.6.1  In phosphorus-containing anhydrides', '                3.6.1.1  inorganic diphosphatase', '                 K01507  ppa; inorganic pyrophosphatase']",18,45.66666667,36.33333333,10.22222222,27.22222222,62.55555556
ko:K01246,0.001548054,aminoglycoside,['tag'],DNA-3-methyladenine glycosylase I [EC:3.2.2.20],{'ko03410': 'Base excision repair'},"['KEGG Orthology (KO) [BR:ko00001]', '             Genetic Information Processing', '              Replication and repair', '               03410 Base excision repair', '                K01246  tag; DNA-3-methyladenine glycosylase I', '            Enzymes [BR:ko01000]', '             3. Hydrolases', '              3.2  Glycosylases', '               3.2.2  Hydrolysing N-glycosyl compounds', '                3.2.2.20  DNA-3-methyladenine glycosylase I', '                 K01246  tag; DNA-3-methyladenine glycosylase I', '            DNA repair and recombination proteins [BR:ko03400]', '             Prokaryotic Type', '              SSBR (single strand breaks repair)', '               BER (base exicision repair)', '                DNA glycosylases', '                 K01246  tag; DNA-3-methyladenine glycosylase I']",41.55555556,41.88888889,16.55555556,21.77777778,43.33333333,34.88888889
ko:K05985,0.001534711,aminoglycoside,['rnmV'],ribonuclease M5 [EC:3.1.26.8],,"['Enzymes [BR:ko01000]', '             3. Hydrolases', '              3.1  Acting on ester bonds', ""               3.1.26  Endoribonucleases producing 5'-phosphomonoesters"", '                3.1.26.8  ribonuclease M5', '                 K05985  rnmV; ribonuclease M5']",12.66666667,36.55555556,50.77777778,3.333333333,15.22222222,81.44444444
ko:K01963,0.001531258,aminoglycoside,['accD'],acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15],"{'ko00640': 'Propanoate metabolism', 'ko01130': 'Biosynthesis of antibiotics', 'ko01200': 'Carbon metabolism', 'ko01100': 'Metabolic pathways', 'ko00061': 'Fatty acid biosynthesis', 'ko00720': 'Carbon fixation pathways in prokaryotes', 'ko01212': 'Fatty acid metabolism', 'ko01110': 'Biosynthesis of secondary metabolites', 'ko01120': 'Microbial metabolism in diverse environments', 'ko00620': 'Pyruvate metabolism'}","['KEGG Orthology (KO) [BR:ko00001]', '             Metabolism', '              Carbohydrate metabolism', '               00620 Pyruvate metabolism', '                K01963  accD; acetyl-CoA carboxylase carboxyl transferase subunit beta', '               00640 Propanoate metabolism', '                K01963  accD; acetyl-CoA carboxylase carboxyl transferase subunit beta', '              Energy metabolism', '               00720 Carbon fixation pathways in prokaryotes', '                K01963  accD; acetyl-CoA carboxylase carboxyl transferase subunit beta', '              Lipid metabolism', '               00061 Fatty acid biosynthesis', '                K01963  accD; acetyl-CoA carboxylase carboxyl transferase subunit beta', '            KEGG modules [BR:ko00002]', '             Pathway module', '              Energy metabolism', '               Carbon fixation', '                M00376  3-Hydroxypropionate bi-cycle', '                 K01963  accD; acetyl-CoA carboxylase carboxyl transferase subunit beta', '              Carbohydrate and lipid metabolism', '               Fatty acid metabolism', '                M00082  Fatty acid biosynthesis, initiation', '                 K01963  accD; acetyl-CoA carboxylase carboxyl transferase subunit beta', '            Enzymes [BR:ko01000]', '             2. Transferases', '              2.1  Transferring one-carbon groups', '               2.1.3  Carboxy- and carbamoyltransferases', '                2.1.3.15  acetyl-CoA carboxytransferase', '                 K01963  accD; acetyl-CoA carboxylase carboxyl transferase subunit beta', '             6. Ligases', '              6.4  Forming carbon-carbon bonds', '               6.4.1  Ligases that form carbon-carbon bonds (only sub-subclass identified to date)', '                6.4.1.2  acetyl-CoA carboxylase', '                 K01963  accD; acetyl-CoA carboxylase carboxyl transferase subunit beta']",63.33333333,29.22222222,7.444444444,49.77777778,16.88888889,33.33333333
ko:K02086,0.001515474,aminoglycoside,['dnaD'],DNA replication protein,,,4.888888889,24.11111111,71,1.555555556,4,94.44444444
ko:K01560,0.001509397,aminoglycoside,['E3.8.1.2'],2-haloacid dehalogenase [EC:3.8.1.2],"{'ko00361': 'Chlorocyclohexane and chlorobenzene degradation', 'ko00625': 'Chloroalkane and chloroalkene degradation', 'ko01120': 'Microbial metabolism in diverse environments', 'ko01100': 'Metabolic pathways'}","['KEGG Orthology (KO) [BR:ko00001]', '             Metabolism', '              Xenobiotics biodegradation and metabolism', '               00625 Chloroalkane and chloroalkene degradation', '                K01560  E3.8.1.2; 2-haloacid dehalogenase', '               00361 Chlorocyclohexane and chlorobenzene degradation', '                K01560  E3.8.1.2; 2-haloacid dehalogenase', '            Enzymes [BR:ko01000]', '             3. Hydrolases', '              3.8  Acting on halide bonds', '               3.8.1  In carbon-halide compounds', '                3.8.1.2  (S)-2-haloacid dehalogenase', '                 K01560  E3.8.1.2; 2-haloacid dehalogenase']",16.55555556,42.22222222,41.22222222,5.666666667,27.66666667,66.66666667
ko:K09001,0.00149061,aminoglycoside,['anmK'],anhydro-N-acetylmuramic acid kinase [EC:2.7.1.170],,"['Enzymes [BR:ko01000]', '             2. Transferases', '              2.7  Transferring phosphorus-containing groups', '               2.7.1  Phosphotransferases with an alcohol group as acceptor', '                2.7.1.170  anhydro-N-acetylmuramic acid kinase', '                 K09001  anmK; anhydro-N-acetylmuramic acid kinase']",10.77777778,22.77777778,66.44444444,2.777777778,12.55555556,84.66666667
ko:K13940,0.001485545,aminoglycoside,['sulD'],dihydroneopterin aldolase / 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:4.1.2.25 2.7.6.3],"{'ko00790': 'Folate biosynthesis', 'ko01100': 'Metabolic pathways'}","['KEGG Orthology (KO) [BR:ko00001]', '             Metabolism', '              Metabolism of cofactors and vitamins', '               00790 Folate biosynthesis', '                K13940  sulD; dihydroneopterin aldolase / 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase', '            KEGG modules [BR:ko00002]', '             Pathway module', '              Nucleotide and amino acid metabolism', '               Cofactor and vitamin biosynthesis', '                M00126  Tetrahydrofolate biosynthesis, GTP => THF', '                 K13940  sulD; dihydroneopterin aldolase / 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase', '            Enzymes [BR:ko01000]', '             2. Transferases', '              2.7  Transferring phosphorus-containing groups', '               2.7.6  Diphosphotransferases', '                2.7.6.3  2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase', '                 K13940  sulD; dihydroneopterin aldolase / 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase', '             4. Lyases', '              4.1  Carbon-carbon lyases', '               4.1.2  Aldehyde-lyases', '                4.1.2.25  dihydroneopterin aldolase', '                 K13940  sulD; dihydroneopterin aldolase / 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase']",4.111111111,23.88888889,72,14.44444444,27.88888889,57.66666667
ko:K01962,0.001472142,aminoglycoside,['accA'],acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15],"{'ko00640': 'Propanoate metabolism', 'ko01130': 'Biosynthesis of antibiotics', 'ko01200': 'Carbon metabolism', 'ko01100': 'Metabolic pathways', 'ko00061': 'Fatty acid biosynthesis', 'ko00720': 'Carbon fixation pathways in prokaryotes', 'ko01212': 'Fatty acid metabolism', 'ko01110': 'Biosynthesis of secondary metabolites', 'ko01120': 'Microbial metabolism in diverse environments', 'ko00620': 'Pyruvate metabolism'}","['KEGG Orthology (KO) [BR:ko00001]', '             Metabolism', '              Carbohydrate metabolism', '               00620 Pyruvate metabolism', '                K01962  accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha', '               00640 Propanoate metabolism', '                K01962  accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha', '              Energy metabolism', '               00720 Carbon fixation pathways in prokaryotes', '                K01962  accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha', '              Lipid metabolism', '               00061 Fatty acid biosynthesis', '                K01962  accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha', '            KEGG modules [BR:ko00002]', '             Pathway module', '              Energy metabolism', '               Carbon fixation', '                M00376  3-Hydroxypropionate bi-cycle', '                 K01962  accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha', '              Carbohydrate and lipid metabolism', '               Fatty acid metabolism', '                M00082  Fatty acid biosynthesis, initiation', '                 K01962  accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha', '            Enzymes [BR:ko01000]', '             2. Transferases', '              2.1  Transferring one-carbon groups', '               2.1.3  Carboxy- and carbamoyltransferases', '                2.1.3.15  acetyl-CoA carboxytransferase', '                 K01962  accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha', '             6. Ligases', '              6.4  Forming carbon-carbon bonds', '               6.4.1  Ligases that form carbon-carbon bonds (only sub-subclass identified to date)', '                6.4.1.2  acetyl-CoA carboxylase', '                 K01962  accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha']",63.44444444,29.11111111,7.444444444,49.88888889,16.77777778,33.33333333
ko:K03590,0.001463816,aminoglycoside,['ftsA'],cell division protein FtsA,{'ko04112': 'Cell cycle - Caulobacter'},"['KEGG Orthology (KO) [BR:ko00001]', '             Cellular Processes', '              Cell growth and death', '               04112 Cell cycle - Caulobacter', '                K03590  ftsA; cell division protein FtsA', '            Chromosome [BR:ko03036]', '             Prokaryotic Type', '              Chromosome partitioning proteins', '               Divisome proteins', '                K03590  ftsA; cell division protein FtsA', '            Cytoskeleton proteins [BR:ko04812]', '             Prokaryotic cytoskeleton proteins', '              Microtubules homologs', '               K03590  ftsA; cell division protein FtsA']",28.55555556,33.77777778,37.66666667,30.88888889,12.66666667,56.44444444
ko:K00334,0.001452881,aminoglycoside,['nuoE'],NADH-quinone oxidoreductase subunit E [EC:1.6.5.3],"{'ko00190': 'Oxidative phosphorylation', 'ko01100': 'Metabolic pathways'}","['KEGG Orthology (KO) [BR:ko00001]', '             Metabolism', '              Energy metabolism', '               00190 Oxidative phosphorylation', '                K00334  nuoE; NADH-quinone oxidoreductase subunit E', '            KEGG modules [BR:ko00002]', '             Structural complex', '              Energy metabolism', '               ATP synthesis', '                M00144  NADH:quinone oxidoreductase, prokaryotes', '                 K00334  nuoE; NADH-quinone oxidoreductase subunit E', '            Enzymes [BR:ko01000]', '             1. Oxidoreductases', '              1.6  Acting on NADH or NADPH', '               1.6.5  With a quinone or similar compound as acceptor', '                1.6.5.3  NADH:ubiquinone reductase (H+-translocating)', '                 K00334  nuoE; NADH-quinone oxidoreductase subunit E']",12.88888889,33.66666667,53.44444444,12.88888889,39.33333333,47.77777778
ko:K03839,0.001444763,aminoglycoside,"['fldA, nifF, isiB']",flavodoxin I,,,4.111111111,21.11111111,74.77777778,25.66666667,7.777777778,66.55555556
ko:K02242,0.001441451,aminoglycoside,['comFC'],competence protein ComFC,,"['KEGG modules [BR:ko00002]', '             Structural complex', '              Environmental information processing', '               Bacterial secretion system', '                M00429  Competence-related DNA transformation transporter', '                 K02242  comFC; competence protein ComFC', '            Secretion system [BR:ko02044]', '             Type II secretion system', '              Competence-related DNA transformation transporter (DNA-T) core components', '               K02242  comFC; competence protein ComFC']",3.888888889,22.88888889,73.22222222,1,4.222222222,94.77777778
ko:K10947,0.001384808,aminoglycoside,['padR'],"PadR family transcriptional regulator, regulatory protein PadR",,"['Transcription factors [BR:ko03000]', '             Prokaryotic Type', '              Helix-turn-helix', '               Other families', '                K10947  padR; PadR family transcriptional regulator, regulatory protein PadR']",75.88888889,17.77777778,6.333333333,61.33333333,30,8.666666667
ko:K00940,0.001380677,aminoglycoside,"['ndk, NME']",nucleoside-diphosphate kinase [EC:2.7.4.6],"{'ko00240': 'Pyrimidine metabolism', 'ko00983': 'Drug metabolism - other enzymes', 'ko00230': 'Purine metabolism', 'ko01130': 'Biosynthesis of antibiotics', 'ko01110': 'Biosynthesis of secondary metabolites', 'ko04016': 'MAPK signaling pathway - plant', 'ko01100': 'Metabolic pathways'}","['KEGG Orthology (KO) [BR:ko00001]', '             Metabolism', '              Nucleotide metabolism', '               00230 Purine metabolism', '                K00940  ndk, NME; nucleoside-diphosphate kinase', '               00240 Pyrimidine metabolism', '                K00940  ndk, NME; nucleoside-diphosphate kinase', '              Xenobiotics biodegradation and metabolism', '               00983 Drug metabolism - other enzymes', '                K00940  ndk, NME; nucleoside-diphosphate kinase', '             Environmental Information Processing', '              Signal transduction', '               04016 MAPK signaling pathway - plant', '                K00940  ndk, NME; nucleoside-diphosphate kinase', '            KEGG modules [BR:ko00002]', '             Pathway module', '              Nucleotide and amino acid metabolism', '               Purine metabolism', '                M00049  Adenine ribonucleotide biosynthesis, IMP => ADP,ATP', '                 K00940  ndk, NME; nucleoside-diphosphate kinase', '                M00050  Guanine ribonucleotide biosynthesis IMP => GDP,GTP', '                 K00940  ndk, NME; nucleoside-diphosphate kinase', '               Pyrimidine metabolism', '                M00052  Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP', '                 K00940  ndk, NME; nucleoside-diphosphate kinase', '                M00053  Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP', '                 K00940  ndk, NME; nucleoside-diphosphate kinase', '            Enzymes [BR:ko01000]', '             2. Transferases', '              2.7  Transferring phosphorus-containing groups', '               2.7.4  Phosphotransferases with a phosphate group as acceptor', '                2.7.4.6  nucleoside-diphosphate kinase', '                 K00940  ndk, NME; nucleoside-diphosphate kinase', '            Membrane trafficking [BR:ko04131]', '             Exocytosis', '              Calcium ion-dependent exocytosis', '               Kinases and associated proteins', '                K00940  ndk, NME; nucleoside-diphosphate kinase']",24.55555556,38.77777778,36.66666667,14.33333333,28.22222222,57.44444444
ko:K03346,0.001366637,aminoglycoside,['dnaB'],replication initiation and membrane attachment protein,,"['DNA replication proteins [BR:ko03032]', '             Prokaryotic Type', '              DNA Replication Initiation Factors', '               Initiation factors (bacterial)', '                K03346  dnaB; replication initiation and membrane attachment protein']",4.222222222,22.77777778,73,1.444444444,3.888888889,94.66666667
ko:K06920,0.001365884,aminoglycoside,['queC'],7-cyano-7-deazaguanine synthase [EC:6.3.4.20],"{'ko00790': 'Folate biosynthesis', 'ko01100': 'Metabolic pathways'}","['KEGG Orthology (KO) [BR:ko00001]', '             Metabolism', '              Metabolism of cofactors and vitamins', '               00790 Folate biosynthesis', '                K06920  queC; 7-cyano-7-deazaguanine synthase', '            Enzymes [BR:ko01000]', '             6. Ligases', '              6.3  Forming carbon-nitrogen bonds', '               6.3.4  Other carbon-nitrogen ligases', '                6.3.4.20  7-cyano-7-deazaguanine synthase', '                 K06920  queC; 7-cyano-7-deazaguanine synthase', '            Transfer RNA biogenesis [BR:ko03016]', '             Prokaryotic Type', '              tRNA modification factors', '               Other tRNA modification factors', '                K06920  queC; 7-cyano-7-deazaguanine synthase']",11,37.88888889,51.11111111,29.88888889,34.33333333,35.77777778
ko:K03306,0.001353729,aminoglycoside,['TC.PIT'],"inorganic phosphate transporter, PiT family",,,25,43.44444444,31.55555556,13.77777778,35.22222222,51
